ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
85,BACCANO！ バッカーノ！（TVアニメ動画）,88.8,2680,14835,4.1,4.1,4.0,4.0,4.1,4.2,TVアニメ動画,2007年夏アニメ,ブレインズ・ベース,小野坂昌也、あおきさやか、吉野裕行、宮本充、小林沙苗、藤原啓治、阪口大助、小林ゆう、園部好德、森田成一、広橋涼、千葉進歩、太田哲治、伝坂勉、有本欽隆、菅生隆之、中田和宏、伊藤美紀、後藤沙緒里、神田朱未、子安武人、三宅健太、山口勝平、安井絵里、大林隆介、佐々木誠二、若本規夫、井上麻里奈、羽多野渉、伊丸岡篤、永澤菜教、平野俊隆、古澤徹、楠大典、斎藤千和、亀井三郎、伊藤静、神奈延年、大畑伸太郎、高垣彩陽、斧アツシ、長克巳、塚田正昭、速水奨、西本理一、河本邦弘、浪川大輔、金光宣明、成田剣、坂口候一、相馬幸人、こぶしのぶゆき、西村知道、岡田三利、麻生智久、杉田智和
86,ONE PIECE -ワンピース（TVアニメ動画）,88.8,1746,8311,3.9,4.1,3.6,3.9,3.7,4.1,TVアニメ動画,1999年秋アニメ,東映アニメーション,田中真弓、岡村明美、中井和哉、山口勝平、平田広明、大谷育江、山口由里子、矢尾一樹、チョー
87,ヨルムンガンド（TVアニメ動画）,88.7,2789,14888,4.0,4.1,3.9,3.9,4.0,4.1,TVアニメ動画,2012年春アニメ,WHITE FOX,伊藤静、田村睦心、石塚運昇、大原さやか、乃村健次、小西克幸、四宮豪、勝沼紀義、羽多野渉、箭内仁、松風雅也、冬馬由美、小山剛志、神田朱未、土師孝也、加藤沙織、高島雅羅、堀内賢雄、高梁碧、松本大、藤原啓治、阿澄佳奈、小柳良寛、保村真、磯部勉
88,続 夏目友人帳（TVアニメ動画）,88.7,2318,13342,4.1,4.2,4.0,4.1,4.0,4.2,TVアニメ動画,2009年冬アニメ,ブレインズ・ベース,神谷浩史、井上和彦、小林沙苗、石田彰、堀江一眞、伊藤美紀、沢城みゆき、木村良平、菅沼久義、藤村歩
89,さくら荘のペットな彼女（TVアニメ動画）,88.6,5239,25425,4.0,4.0,4.0,4.0,3.8,4.1,TVアニメ動画,2012年秋アニメ,J.C.STAFF,松岡禎丞、茅野愛衣、中津真莉子、高森奈津美、櫻井孝宏、堀江由衣、豊口めぐみ、浅野真澄、小倉唯
90,WORKING'！！ [ワーキング]2期（TVアニメ動画）,88.6,3781,20686,4.0,3.9,3.9,4.1,3.8,4.2,TVアニメ動画,2011年秋アニメ,A-1 Pictures,福山潤、阿澄佳奈、藤田咲、喜多村英梨、渡辺久美子、小野大輔、神谷浩史、白石涼子、日笠陽子、伊藤静、斎藤桃子、中田譲治、広橋涼、川瀬晶子、中村悠一、戸松遥、日野聡
91,喰霊-零-（TVアニメ動画）,88.6,4513,20176,4.0,4.1,4.0,3.8,3.9,4.0,TVアニメ動画,2008年秋アニメ,AIC / アスリード,水原薫、茅原実里、高橋伸也、相沢舞、土谷麻貴、白石稔、稲田徹、若本規夫、平松広和、松元惠、小村哲生、麦人、石森達幸、田中涼子、城山堅、升望、堀川千華
92,TIGER＆BUNNY [タイガーアンドバニー]（TVアニメ動画）,88.6,3285,16831,4.0,4.0,3.9,3.9,3.8,4.1,TVアニメ動画,2011年春アニメ,サンライズ,平田広明、森田成一、寿美菜子、楠大典、伊瀬茉莉也、津田健次郎、井上剛、岡本信彦、甲斐田裕子、福田信昭、横島亘、宝亀克寿、日高里菜
93,響け！ユーフォニアム2（TVアニメ動画）,88.6,1461,6469,4.3,4.2,4.5,4.2,4.3,4.2,TVアニメ動画,2016年秋アニメ,京都アニメーション,黒沢ともよ、朝井彩加、豊田萌絵、安済知佳、寿美菜子、早見沙織、茅原実里、藤村鼓乃美、山岡ゆり、種﨑敦美、東山奈央、石谷春貴、津田健次郎、小堀幸、沼倉愛美、久川綾、中村悠一、桑島法子、櫻井孝宏
94,はたらく魔王さま！（TVアニメ動画）,88.6,5558,26704,3.9,4.0,3.9,4.0,3.7,4.1,TVアニメ動画,2013年春アニメ,WHITE FOX,逢坂良太、日笠陽子、東山奈央、小野友樹、下野紘、伊藤かな恵、西明日香、内山夕実、浅倉杏美、安元洋貴、宝亀克寿
95,TARI TARI（TVアニメ動画）,88.5,4380,20125,4.0,3.9,4.2,4.0,4.2,4.0,TVアニメ動画,2012年夏アニメ,ピーエーワークス,高垣彩陽、瀬戸麻沙美、早見沙織、島﨑信長、花江夏樹、浜田賢二、大原さやか、木下浩之、能登麻美子、田中敦子、宝亀克寿
96,Darker than BLACK-ダーカーザンブラック 黒の契約者（TVアニメ動画）,88.5,3574,19254,4.0,4.1,3.9,3.9,3.9,4.1,TVアニメ動画,2007年春アニメ,ボンズ,原作:BONES/岡村天斎、 監督:岡村天斎、シナリオ:吉野弘幸/岡田磨里/大西信介/菅正太郎、キャラクター原案:岩原裕二、キャラクターデザイン・総作画監督:小森高博、美術デザイン:青井孝/岡田有章、プロップデザイン:やまだたかひろ、色彩設計:水田信子、美術監督:青井孝、撮影監督:神林剛、音楽:石井妥師、音響監督:若林和弘
97,四畳半神話大系（TVアニメ動画）,88.5,2803,13051,4.0,4.1,3.9,4.0,3.8,4.0,TVアニメ動画,2010年春アニメ,マッドハウス,浅沼晋太郎、坂本真綾、吉野裕行、藤原啓治、諏訪部順一、甲斐田裕子
98,蟲師（TVアニメ動画）,88.5,1881,10066,4.1,4.3,4.2,3.9,4.1,4.0,TVアニメ動画,2005年秋アニメ,アートランド,中野裕斗、うえだゆうじ、土井美加
99,銀河英雄伝説（TVアニメ動画）,88.4,915,3819,4.3,4.6,3.8,4.5,4.2,4.5,TVアニメ動画,1990年春アニメ,www.ginei.jp/,
100,俺の妹がこんなに可愛いわけがない（TVアニメ動画）,88.3,8163,33603,4.0,3.9,4.0,4.0,3.8,4.1,TVアニメ動画,2010年秋アニメ,AIC,竹達彩奈、中村悠一、花澤香菜、生天目仁美、佐藤聡美、早見沙織、田村ゆかり、立木文彦、渡辺明乃
101,WORKING！！ - ワーキング！！（TVアニメ動画）,88.3,6593,29151,4.0,3.9,3.9,4.1,3.7,4.2,TVアニメ動画,2010年春アニメ,A-1 Pictures,福山潤、阿澄佳奈、藤田咲、喜多村英梨、渡辺久美子、小野大輔、神谷浩史、白石涼子、日笠陽子、伊藤静、斎藤桃子、中田譲治、広橋涼、川瀬晶子
102,中二病でも恋がしたい！（TVアニメ動画）,88.3,6085,28250,4.0,3.8,4.2,4.0,3.8,4.1,TVアニメ動画,2012年秋アニメ,京都アニメーション,内田真礼、赤﨑千夏、浅倉杏美、上坂すみれ、天野由梨、福原香織、設楽麻美、保志総一朗、井上喜久子、仙台エリ
103,ココロコネクト（TVアニメ動画）,88.3,4604,21701,3.9,4.1,3.9,4.0,3.7,4.0,TVアニメ動画,2012年夏アニメ,SILVER LINK.,水島大宙、沢城みゆき、豊崎愛生、金元寿子、寺島拓篤、伊藤静、藤原啓治、大亀あすか、佐倉綾音、田中敦子、小野友樹、石原夏織、上坂すみれ、内田真礼、戸松遥
104,ソードアートオンラインⅡ（TVアニメ動画）,88.3,3790,21630,4.0,3.9,4.1,4.1,4.0,4.0,TVアニメ動画,2014年夏アニメ,A-1 Pictures,松岡禎丞、沢城みゆき、戸松遥、竹達彩奈、伊藤かな恵、日高里菜、高垣彩陽、平田広明、悠木碧
105,ひぐらしのなく頃に（TVアニメ動画）,88.3,4838,21335,3.9,4.2,3.5,4.0,3.9,4.0,TVアニメ動画,2006年春アニメ,スタジオディーン,保志総一朗、中原麻衣、ゆきのさつき、かないみか、田村ゆかり、茶風林、大川透、伊藤美紀、折笠富美子、小林ゆう、関俊彦、かわむら拓央、鶴岡聡、松元惠、瀧本富士子、尾小平志津香、井上喜久子、廣田行生、こぶしのぶゆき、立木文彦、塚田正昭、樫井笙人、小野大輔、水野理紗、金田アキ、宝亀克寿、くじら、渡辺美佐、松本保典、松井菜桜子、中野元、須加みき
106,刀語-かたながたり（TVアニメ動画）,88.3,2990,15867,3.9,4.1,3.8,3.9,3.8,4.0,TVアニメ動画,2010年冬アニメ,WHITE FOX,細谷佳正、田村ゆかり、中原麻衣、鈴木千尋、宮本充、池田昌子
107,ガールズ&パンツァー（TVアニメ動画）,88.3,3078,13484,4.0,4.0,4.1,3.9,3.9,4.0,TVアニメ動画,2012年秋アニメ,アクタス,渕上舞、茅野愛衣、尾崎真実、中上育実、井口裕香、福圓美里、高橋美佳子、植田佳奈、菊地美香、吉岡麻耶、桐村まり、中村桜、仙台エリ、森谷里美、井上優佳、大橋歩夕、竹内仁美、中里望、多田このみ、山岡ゆり、秋奈、井澤詩織、山本希望、椎名へきる、喜多村英梨、石原舞、川澄綾子、伊瀬茉莉也、平野綾、金元寿子、上坂すみれ、田中理恵、生天目仁美、倉田雅世、愛河里花子、冬馬由美
108,エルフェンリート（TVアニメ動画）,88.3,2797,13299,3.8,4.0,3.5,3.7,3.9,3.8,TVアニメ動画,2004年夏アニメ,ARMS,鈴木千尋、小林沙苗、能登麻美子、萩原えみこ、松岡由貴、細井治、中田譲治
109,ヒカルの碁（TVアニメ動画）,88.3,1589,8603,4.0,4.3,3.8,3.9,4.0,4.1,TVアニメ動画,2001年秋アニメ,ぴえろ,川上とも子、千葉進歩、小林沙苗、かかずゆみ、ゆきのさつき、津村まこと、伊藤健太郎、津田英三、藤原啓治、浅川悠、水田わさび、高木礼子、松岡洋子、鈴村健一、榎本温子
110,十二国記（TVアニメ動画）,88.1,1647,8834,4.0,4.3,3.7,3.9,3.9,4.0,TVアニメ動画,2002年春アニメ,ぴえろ,久川綾、石津彩、うえだゆうじ、子安武人、相沢まさき、山口勝平、鈴村健一、岡野浩介、釘宮理恵、勝生真沙子、ゆかな、藤原啓治、進藤尚美、石田彰、若林直美、桑島法子、高山みなみ、山崎和佳奈、鈴木れい子、西村知道、平松晶子、川上とも子、千葉千恵巳、大川透、中田和宏、野島健児、西凜太朗、松本保典、大倉正章、家中宏
111,とある魔術の禁書目録[インデックス]（TVアニメ動画）,88.0,7970,34790,3.9,3.9,3.9,3.9,3.8,4.0,TVアニメ動画,2008年秋アニメ,J.C.STAFF,阿部敦、井口裕香、佐藤利奈、伊藤静、谷山紀章、勝杏里、こやまきみこ、新井里美、岡本信彦
112,とある魔術の禁書目録[インデックス] Ⅱ 第2期（TVアニメ動画）,88.0,7099,32320,3.9,3.9,3.9,4.0,3.9,4.1,TVアニメ動画,2010年秋アニメ,J.C.STAFF,阿部敦、井口裕香、佐藤利奈、伊藤静、谷山紀章、勝杏里、こやまきみこ、新井里美、岡本信彦
113,ひぐらしのなく頃に解（TVアニメ動画）,88.0,2818,13127,4.0,4.3,3.7,4.0,4.0,4.1,TVアニメ動画,2007年夏アニメ,スタジオディーン,保志総一朗、中原麻衣、ゆきのさつき、かないみか、田村ゆかり、堀江由衣、茶風林、大川透、伊藤美紀、関俊彦、折笠富美子
114,ARIA The ANIMATION-アリアジアニメーション（TVアニメ動画）,88.0,1729,9144,4.1,4.1,3.9,4.0,4.3,4.2,TVアニメ動画,2005年秋アニメ,ハルフィルムメーカー,葉月絵理乃、斎藤千和、広橋涼、大原さやか、西村ちなみ、皆川純子、川上とも子、水橋かおり
115,日常（TVアニメ動画）,87.9,4242,19697,4.0,3.9,3.9,4.0,3.8,4.2,TVアニメ動画,2011年春アニメ,京都アニメーション,本多真梨子、相沢舞、富樫美鈴、今野宏美、古谷静佳、白石稔、堀川千華、川原慶久、山本和臣、平松広和、小林元子、吉崎亮太、廣坂愛、比上孝浩、玉置陽子、樋口結美、佐土原かおり、山口浩太、小菅真美、稲田徹、水原薫、チョー、中博史、銀河万丈
116,聲の形（アニメ映画）,87.9,1365,6742,4.1,4.2,4.4,4.2,3.9,4.1,アニメ映画,2016年9月17日,京都アニメーション,入野自由、早見沙織、悠木碧、小野賢章、金子有希、石川由依、潘めぐみ、豊永利行、松岡茉優
117,夏目友人帳 参（TVアニメ動画）,87.8,2105,12389,4.1,4.2,4.0,4.1,4.0,4.1,TVアニメ動画,2011年夏アニメ,ブレインズ・ベース,神谷浩史、井上和彦、小林沙苗、石田彰、堀江一眞、木村良平、菅沼久義、諏訪部順一
118,カレイドスター（TVアニメ動画）,87.8,1493,7920,4.1,4.4,3.9,4.0,3.9,4.2,TVアニメ動画,2003年春アニメ,GONZO,広橋涼、大原さやか、西村ちなみ、渡辺明乃、水橋かおり、櫻井孝宏、中原麻衣、折笠富美子、小桜エツコ、子安武人、下野紘、藤原啓治、久川綾、大森玲子、あびる優
119,3月のライオン 第2期（TVアニメ動画）,87.8,1687,3613,4.7,4.8,4.7,4.8,4.7,4.8,TVアニメ動画,2017年秋アニメ,シャフト,河西健吾、茅野愛衣、花澤香菜、久野美咲、岡本信彦、井上麻里奈、細谷佳正、三木眞一郎、杉田智和、木村昴、千葉繁、大川透、櫻井孝宏、石田彰、玄田哲章、阪口大助、中村悠一、東地宏樹、大塚明夫、岩田光央、大塚芳忠、悠木碧、西明日香
120,咲-Saki-（TVアニメ動画）,87.7,3201,15231,3.9,3.9,3.8,3.9,3.7,4.1,TVアニメ動画,2009年春アニメ,GONZO,植田佳奈、小清水亜美、釘宮理恵、伊藤静、白石涼子、福山潤
121,となりのトトロ（アニメ映画）,87.7,1575,10891,4.0,4.1,4.1,3.8,4.1,4.0,アニメ映画,1988年4月16日,スタジオジブリ,日髙のり子、坂本千夏、雨傘利幸、糸井重里、島本須美、北林谷栄、高木均
122,機動戦士ガンダムSEED[シード]（TVアニメ動画）,87.7,1939,9856,3.9,4.0,3.7,4.0,4.1,3.9,TVアニメ動画,2002年秋アニメ,サンライズ,保志総一朗、三石琴乃、桑島法子、子安武人、豊口めぐみ、高戸靖広、井上隆之、白鳥哲、鳥海勝美、渋谷茂、千葉一伸、大川透、宝亀克寿、石田彰、摩味、関智一、笹沼尭羅、関俊彦、川津泰彦、田中理恵、西川貴教、進藤尚美
123,耳をすませば（アニメ映画）,87.7,1402,9486,4.0,4.1,4.0,3.7,4.1,3.9,アニメ映画,1995年7月15日,スタジオジブリ,本名陽子、高橋一生、立花隆、室井滋、露口茂、小林桂樹
124,さよならの朝に約束の花をかざろう（アニメ映画）,87.7,542,2940,4.3,4.3,4.5,4.3,4.2,4.1,アニメ映画,2018年2月24日,ピーエーワークス,石見舞菜香、入野自由、茅野愛衣、梶裕貴、沢城みゆき、細谷佳正、佐藤利奈、日笠陽子、久野美咲、杉田智和、平田広明
125,Another（TVアニメ動画）,87.6,4950,21917,3.9,4.0,4.0,3.7,3.7,3.8,TVアニメ動画,2012年冬アニメ,ピーエーワークス,高森奈津美、阿部敦、前野智昭、米澤円、野中藍、山本和臣、榊原奈緒子、平田広明
126,サマーウォーズ（アニメ映画）,87.6,4086,20653,4.0,4.2,4.2,3.7,3.9,4.0,アニメ映画,2009年8月1日,マッドハウス,神木隆之介、桜庭ななみ、谷村美月、仲里依紗、斎藤歩、富司純子
127,翠星のガルガンティア（TVアニメ動画）,87.6,2777,13913,3.9,4.0,4.0,3.8,3.7,3.9,TVアニメ動画,2013年春アニメ,プロダクションI.G,石川界人、金元寿子、茅野愛衣、阿澄佳奈、伊藤静、大原さやか、小西克幸、寺崎裕香、手塚秀彰、早志勇紀、徳井青空、津田英三、星野充昭、保村真、小野友樹、杉田智和、藤村歩
135,THE IDOLM@STER [アイドルマスター]（TVアニメ動画）,87.6,2434,10403,4.1,4.0,4.1,4.1,4.3,4.3,TVアニメ動画,2011年夏アニメ,,
136,ギルティクラウン [GUILTY CROWN]（TVアニメ動画）,87.5,7049,29716,4.1,3.8,4.3,4.0,4.4,3.9,TVアニメ動画,2011年秋アニメ,プロダクションI.G,梶裕貴、中村悠一、茅野愛衣、花澤香菜、竹達彩奈、嶋村侑、寿美菜子
137,劇場版 STEINS；GATE 負荷領域のデジャヴ（アニメ映画）,87.5,2506,13077,4.1,4.0,4.0,4.2,4.0,4.2,アニメ映画,2013年4月20日,WHITE FOX,宮野真守、花澤香菜、関智一、今井麻美、後藤沙緒里、小林ゆう、桃井はるこ、田村ゆかり
138,劇場版 ヴァイオレット・エヴァーガーデン（アニメ映画）,87.5,348,1505,4.5,4.4,4.8,4.5,4.4,4.4,アニメ映画,2020年9月18日,京都アニメーション,石川由依、浪川大輔
139,デュラララ！！（TVアニメ動画）,87.4,5782,26012,4.0,4.1,3.9,4.1,3.9,4.1,TVアニメ動画,2010年冬アニメ,ブレインズ・ベース,豊永利行、宮野真守、花澤香菜、沢城みゆき、福山潤、神谷浩史、小野大輔、中村悠一、梶裕貴、高垣彩陽、寺島拓篤、堀江一眞、小林沙苗、伊瀬茉莉也、黒田崇矢、藤原啓治、大塚明夫、うえだゆうじ、小山力也、小西克幸、福圓美里、岸尾だいすけ、中原麻衣、高木渉、遠藤大輔、伊丸岡篤、大塚芳忠、戸松遥、岡本信彦、伊藤健太郎、松風雅也、井口祐一、宮島依里、ささきのぞみ、さかいかな、加藤将之、金元寿子、喜多村英梨、藤田咲、大川透、互野ちひろ、高橋伸也、安元洋貴、宮下栄治、松岡文雄、広瀬正志、葉山いくみ、納谷六朗、井澤詩織、仲村萌実
140,true tears[トゥルーティアーズ]（TVアニメ動画）,87.4,6068,25933,3.9,4.0,4.0,3.8,3.9,3.9,TVアニメ動画,2008年冬アニメ,ピーエーワークス,石井真、高垣彩陽、名塚佳織、井口裕香、吉野裕行、増田裕生、渡辺智美、藤原啓治、高橋理恵子、土倉有貴
