ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
438,火垂るの墓（アニメ映画）,79.3,810,5324,3.8,4.0,3.8,3.7,3.6,3.7,アニメ映画,1988年4月16日,スタジオジブリ,辰巳努、白石綾乃、志乃原良子、山口朱美
439,AKIRA アキラ（アニメ映画）,79.3,1008,4881,4.0,4.0,4.3,3.8,3.9,3.9,アニメ映画,1988年7月16日,東京ムービー,岩田光央、佐々木望、小山茉美、石田太郎、玄田哲章、鈴木瑞穂、中村龍彦、伊藤福恵、神藤一弘
440,機動戦士ガンダム0080 ポケットの中の戦争（OVA）,79.3,723,3408,3.9,4.2,3.8,3.8,3.7,4.0,OVA,1989年3月25日,サンライズ,浪川大輔、辻谷耕史、林原めぐみ、鈴木健、丸尾知子、吉田小南美、秋元羊介、島田敏、島香裕、稲葉実、増岡弘、折笠愛、榊原良子
441,僕のヒーローアカデミア（第2期）（TVアニメ動画）,79.3,486,3024,3.9,3.9,3.9,3.9,3.8,4.0,TVアニメ動画,2017年春アニメ,ボンズ,山下大輝、岡本信彦、佐倉綾音、石川界人、梶裕貴、悠木碧、広橋涼、増田俊樹、井上麻里奈、細谷佳正、畠中祐、諏訪部順一、吉野裕行、小桜エツコ、犬山イヌコ、高戸靖広、稲田徹、三宅健太、桑野晃輔、真堂圭、喜多村英梨、西田雅一、三好晃祐、古島清孝、名塚佳織、奈良徹、内山昂輝、藤原貴弘、大塚明夫、天崎滉平、小笠原早紀、沖野晃司、真坂美帆、桜あず、羽多野渉
442,この素晴らしい世界に祝福を！紅伝説（アニメ映画）,79.4,342,1521,4.0,3.9,3.9,4.2,3.8,4.2,アニメ映画,2019年8月30日,J.C.STAFF,福島潤、雨宮天、高橋李依、茅野愛衣、堀江由衣、豊崎愛生
443,灰羽連盟（TVアニメ動画）,79.2,1468,7464,3.8,4.0,3.7,3.7,3.8,3.8,TVアニメ動画,2002年秋アニメ,RADIX,広橋涼、野田順子、宮島依里、矢島晶子、折笠富美子、村井かずさ、久川綾、鈴木千尋、水野愛日、比嘉久美子、半場友恵、青山穣、大木民夫
444,りゅうおうのおしごと！（TVアニメ動画）,79.2,782,3408,3.6,3.5,3.7,3.7,3.5,3.7,TVアニメ動画,2018年冬アニメ,project No.9,内田雄馬、日高里菜、佐倉綾音、金元寿子、茅野愛衣、久保ユリカ、橋本ちなみ、小倉唯
445,からかい上手の高木さん②（TVアニメ動画）,79.4,430,1904,3.9,3.9,3.8,4.0,3.9,4.1,TVアニメ動画,2019年夏アニメ,シンエイ動画,高橋李依、梶裕貴、小原好美、M・A・O、小倉唯、内田雄馬、小岩井ことり、岡本信彦、落合福嗣、内山昂輝、悠木碧、田所陽向
446,ReLIFE“完結編”（OVA）,79.2,409,1839,4.0,4.1,3.8,4.0,4.0,4.0,OVA,2018年3月21日,トムス・エンタテインメント,小野賢章、茅野愛衣、木村良平、戸松遥、内田雄馬、上田麗奈、茜屋日海夏、杉山紀彰、浪川大輔、沢城みゆき、羽多野渉、白石涼子
447,ガールズ&パンツァー 最終章 第3話（アニメ映画）,79.1,28,214,4.3,4.0,4.5,4.2,4.3,4.4,アニメ映画,2021年3月26日,,
448,カンピオーネ！ ～まつろわぬ神々と神殺しの魔王～（TVアニメ動画）,79.1,1648,10644,3.6,3.5,3.6,3.7,3.4,3.7,TVアニメ動画,2012年夏アニメ,,
